,Filename,Reflections,Pixel/Object Changes,Helper Functions,Program Instructions
0,447fd412.png,The task involves enlarging a pattern and copying to several specified locations. The size of the isolated '2' object indicates how many times is the '1' pattern enlarged. A single pattern can occupy multiple isolated '1' objects. The size of the grid and the color of the objects remain the same.,"Depending on how many '2' the object with '1' contains, objects of isolated '2' can be merged together with object of '1'. The color of the copied object remains the same.",get_objects can be used to get all the objects. enlarge_object can be used to resize the '1' object.,"1 Get all objects using the get_objects function. 2. Group isolated '2' objects together if are a single pattern copying destination. 3. For each destination: calculate the multiplication factor for each destination, enlarge the pattern using enlarge_object, and put the pattern at the suitable location such that the '1' position matches. "
1,44d8ac46.png,"The task involves identifying objects that contain a square hole, and filling '2' inside the hole. Objects that contains non-square holes, such as rectangles, are left the same.",There are no creation or destruction of objects. The objects maintain their shape but those that contain a square hole are filled with pixel value of '2'. ,get_objects can be used to obtain all the objects. fill_rect can be used to fill in the square holes.,"1. Get all objects using the get_objects function. 2. For each object, check if the shape of its hole is a square. 3. Fill square holes with '2'. Keep non-square holes the same.   "
2,44f52bb0.png,The task involves identify 3x3 patterns that are vertically mirrored. A single 1x1 pixel on a 1x1 grid that indicates the boolean relationship is returned.,"There are no movement of individial pixels. Instead a single 1x1 pixel is returned. If the input grid is vertically mirrored, the color is '1' otherwise it is '7'. ",empty_grid can be used to obtain a 1x1 empty grid. vertical_flip can be used to check if the input grid can be vertically mirrored. fill_value can be used to fill in the appropriate color into the 1x1 output grid.,"1. Create a 1x1 output grid. 2. Check if vertically flipping the input grid gives the same grid. 3. If it is true, fill in '1' to the output grid. Fill in '7' otherwise."
3,4522001f.png,"The task involves identifiy which corner is the object located on a 3x3 grid. The output would be a 9x9 grid that contains two diagonally touching 4x4 square of value '3'. The position of the 2 squares depends on the object touching corner in the input grid, with one of the square corner touching the same corner as the input, and the other square touching the opposite corner of the previous square.",The input grid is discarded. A 9x9 grid with 2 4x4 squares of value '3' is returned. The position of the squares is dependent of the input grid.,get_objects can be used to obtain the location of the object in the input grid. empty grid can be used to create a 9x9 grid. fill_between_coords can be used to create the 2 4x4 squares.,1. Check which grid corner the input object is touching. 2. Create a 9x9 output grid. 3. Fill a 4x4 square of value '3' at the same corner using fill_between_coords. 4. Fill another 4x4 square of value '3' that is touching the opposite corner of the previous square. The squares should touching diagonally only by the corners.
4,46442a0e.png,"The task involves returning a grid that is 2 times larger in width and height that contains rotated versions of the original pattern. The input grid is copied and rotated 4 times, placed at each corner of the output grid. The top left, top right, bottom right, bottom left pattern are rotated clockwise 0 degrees, 90 degrees, 180 degrees and 20 degrees respectively.","Each color pixel in the input grid is copied and rotated 4 times to the output grid. The rotation transformation for each position would be that the top left, top right, bottom right, bottom left pattern are rotated clockwise 0 degrees, 90 degrees, 180 degrees and 20 degrees respectively.",empty_grid can be used to initialize a output grid that is double in width and height of the input grid. rotate_clockwise can be used to rotate the input grid.  fill_object can be used to fill grid with object.,"1. Create a output grid that is double in width and height of the input grid. 2. Fill each corner with a rotated version of the input grid. The rotation for each corner being the top left, top right, bottom right, bottom left pattern are rotated clockwise 0 degrees, 90 degrees, 180 degrees and 20 degrees respectively."
5,469497ad.png,The task involves scaling the input grid by the number of colors on the borders of the bottom right. There are additional diagonal lines of value '2' extending from the corners of the square object to the colored border pixels.,The entire grid is enlarged. There are additional diagonal lines of value '2' extending from the corners of the square object to the colored border pixels.,enlarge_grid can be used to enlarge the entire grid.,1. Count the number of colors at the bottom and right border. 2. Enlarge the entire grid by the number of colors counted using enlarge_grid. 3. Fill diagonal lines of value '2' using fill_between_coords from each corner of the square object to the colored border pixels.
6,46f33fce.png,The task involves scaling the entire input grid twice and then also each object twice. The object scaling center is on the bottom right.,The entire grid is twice larger than the input grid. Each object is 4 times larger than the original. The color and shape of the object remains the same. The bottom right of each object is at the same fractional position from the input grid.,enlarge_grid can be used to enlarge the entire grid. enlarge_object can be used to enlarge the objects. get_objects can be used to obtain all objects.,1. Enlarge the input grid twice. 2. Get all objects using get_objects. 3. Loop over each object and scale them twice with the scaling center at the bottom right.
7,47c1f68c.png,"An object is mirrored 4 times along a cross shaped object. The cross shaped object is removed, resulting in a grid that is 1 pixel smaller in both width and height. The objects in the output grid are all transformed into the color of the removed cross shaped object.","Each color pixel of an object is mirrored along the object in a cross shape vertically and horizontally,. The cross is removed, resulting in a grid that is 1 pixel smaller in both width and height. The color of the resulting pixels changes to the color of the removed cross.",get_objects can be used to obtain the objects. empty_grid can be used to obtain a smaller grid. change_object_color can change the color of the 4 output objects. horizontal_flip and vertical_flip can be used to filp the object. ,"1. Obtain all the objects. 2. Identify the non cross shaped object. 3. MIrror it along the vertical line of the cross object. 4. Mirror the two objects along the horizontal line of the cross object. 5. Remove the cross object, resulting in a grid that is 1 pixel smaller in both width and height. 6. Change the color of the resulting objects to the color of the removed cross object. "
8,484b58aa.png,This task is a denoising task. The input grid features a underlying repeating lattice pattern with some part of the grid removed. The goal is to recover the missing pixels and obtain a perfect lattice.,Most of the pixels remain the same. The empty pixels are filled with the appropriate values such that the image becomes a repeating lattice pattern. There are no empty pixels left.,crop_grid can be used to extract the repeating grid patttern.,1. Loop through all possible rectangular subgrids until a repeating pattern is found. 2. Extract that pattern using crop_grid. 3. Fill the missing pixels using the extracted pattern
9,48d8fb45.png,This task involves identifying an object that is marked by a pixel of '5' on top. ,The output grid contains only the object that has a pixel of '5' on top. The pixel of '5' is not returned. The color and shape of the object remains the same.,get_objects can be used to obtain the objects. get_object_color can be used to identify the '5' pixel object.,1. Get all objects using get_objects. 2. Identify the position of the '5' pixel object. 3. Identify the object that is directly below and touching the '5' pixel. 4. Return a grid that contains only the object.
10,4938f0c2.png,This task involves contructing a symmetrical pattern around a central pixel using the given pattern.,There are 3 new objects that are flipped versions of the object with the value '2' around the value of '3'. The new pattern has a vertical and horizontal symmtery along the '3' pixel.,get_objects can be used to obtain the '2' value object. get_object_color can be used to identify the color of the object. horizontal_flip and vertical_flip can be used to obtain mirror images of the original pattern. ,1. Obtain the pattern using get_objects. 2. Obtain 3 flipped versions of the pattern using horizontal_flip and vertical_flip. 3. Fill the flipped patterns at the appropriate location.
11,496994bd.png,This task involves constructing a version of the input grid that can be mirrored along the horizontal axis.,There are 1 new object at the lower section of the grid. The new object is a vertically flipped version of the object on the top.,get_objects can be used to obtain the object on the top. vertical_flip can be used to obtain the mirrored object.,1. Obtain the object on the top using get_objects. 2. Obtain a flipped version of the object using vertical_flip. 3. Fill the flipped object at the lower section of the grid.
12,49d1d64f.png,The task involves extending the grid in all 4 directions by 1 pixel according to the colors of the input grid. ,The grid is one pixel larger in all 4 directions. The pixels of the original grid is extended to the border if it is touching a  empty border pixel. The pixels at the 4 corners remain empty. ,empty_grid can be used to obtain a grid that is 2 pixels larger in both height and width. fill_value can be used to extend the colors from the original grid.,"1. Obtain a grid that is 2 pixels larger in both height and width using empty_grid. 2. Fill the original grid about the center of the output grid. 3. For each pixel at the outer part of the original grid, extend the same color to the border using fill_value."
13,4be741c5.png,"This task is a denoising task. The output grid are the unique colors extracted in order, horizontally or vertically. ","The size of the output grid are the number of unique colors in the input grid. It is vertical or horizontal, depending on which direction the color varies in the input grid. The color of the pixels in the output are the unique colors extracted in order from the input grid.",empty_grid can be used to obtain the output grid. fill_value can be used to fill the unique colors to the output grid.,1. Check if the colors are varying horizontally or vertically by getting a slice of the input grid at the border and check if they are all the same colors. 2. Count the number of unqiue colors. 3. Create an empty grid according to the previous informations using empty_grid. 4. Fill in the unique colors according to the order of the varying colors.
