Filename	Reflections	Pixel/Object Changes	Helper Functions	Program Instructions
855e0971.png	The task involves extending the pixels into columns with their height limited to the colored portions of the input grid they are inside.	Pixels are changed into columns.	get_objects can be used to get the pixels. fill_between_coords can be used to extend the pixels vertically till they reach the height of the colored portion in the input grid.	1. obtain the pixels 2. extend the pixels vertically to cover the height of the colored portion the pixel is in.
995c5fa3.png	The task involves creating a three by three output grid by filling its three rows with colors as per the pattern in the three parts of the input grid.	The objects are identified by dividing the input grid using the gray columns into three parts. If the object looks like the shape 'H' rotated 90 degrees, it is mapped with green color, solid gray block is mapped with red, 'O' looking object is mapped to gray and 'A' looking object is mapped with yellow.	get_objects can be used to get the pixels. fill_row can be used to color the row in the output grid. 	1. obtain the three objects 2. fill the row of the output grid with the color based on the shape of the object.
868de0fa.png	The task involves filling up the blue grids with a color depending on whether the side length is an even or an odd number.	The objects are defined by the blue grids. The objects are filled with orange color if the size of one side of the grid is an odd value else filled with red color.	get_objects can be used to obtain the objects. fill_rect can be used to fill up the objects with colors.	1. obtain the objects 2. fill the objects with the color as per the even or off value of the size of the grid.
8731374e.png	The task involves identifying the largest block of some color having a few different colored pixels inside it and then extending those pixels across the height and width of the block.	The object is the largest block of some color. Pixels of same color as the original ones are added to the existing pixels across the height and width of the block.	get_objects can be used to identify the largest block and then the pixels inside it. get_pixel_coords can be used to get the value and coordinates of the pixels. fill_between_coords can be used to extend the pixels across the height and width of that block.	1. get the object 2. get the pixels 3. extend the pixels vertically and horizontally to cover the height and width of the block.
8a004b2b.png	The task involves transforming the object inside the grid formed by the four yellow pixels as corners into the object outside the yellow pixel grid.	Pixels are added to the object inside the grid formed by yellow pixels to match the object outside the yellow pixel grid. The pixels are added after scaling up the object until the common pixels become the same size.	get_objects can be used to get the objects. crop_grid can be used to just return the grid portion formed used the four yellow pixels as corners. fill_between_coords can be used to fill the pixels to match the object outside the yellow grid. 	1. obtain the objects 2. crop the grid to just include the portion inside the four yellow pixels 3. fill the pixels in the object to match it with the scaled up object outside the yellow pixel grid.
8be77c9e.png	The task involves combining the input grid with its mirror image about the bottom edge.	The height of the input grid is doubled. The lower half of the output grid is the vertically mirrored version of the input grid.	vertical_flip can be used to obtain a mirrored image of the input grid. combine_object can be used to combine the mirrored grid with the original grid 	1. get the mirrored image of the input grid. 2. combine the mirrored image with the input grid to get the output grid.
8d5021e8.png	The task involves combining the input grid with its mirror image along the left edge. Then replicating the pattern two more times and combining them on top of each other to get an output that is three times the height and two times the width.	The object is repeated six times so the number of pixels become six times the input grid.	horizontal_flip can be used to get the mirror image of the input grid along its left edge. combine_object can be used to combine the two images. vertical_flip can be used to mirror the resulting object twice. 	1. get the mirrored image of the input grid along its left edge. 2. combine the mirrored image with the input grid. 3. take the mirror image of the combined image twice, along the bottom axis. 4. combine the resulting three images on top of each other.
8d510a79.png	The task involves extending the pixels to form columns that connect with either the grid edge or the gray row depending on the color of the pixel.	Pixels are added to form a column connecting either the grid edge or the gray row.	get_objects can be used to get all the objects. get_pixel_coords can be used to get the color of the pixels. fill_between_coords can be used to fill the values between the pixel and the chosen edge.	1. get the objects 2. check the color of the pixel 3. if the pixel is above the gray row and is blue, extend it vertically to the top edge of the grid. If pixel is red, extend it vertically to the gray row. If the pixel is below the gray row and blue, extend it vertically to the bottom edge of the grid.
8e1813be.png	The task involves building the output grid using rows with colors corresponding to the colors of the rows in the input grid.	The object created is an n by n square where n is the number of rows and each row has a color corresponding to the color of the row in the input grid.	get_pixel_coords can be used to get the color of the rows. fill_row can be used to fill the rows with the corresponding colors.	1. get the number of colored rows in input grid 2. fill the rows of the n by n output grid with colors corresponding to the color of the rows in the input grid
8e5a5113.png	The task involves an input grid that is divided by gray columns into three parts. It requires filling the second and the third part of the input grid with the first part of the grid. The second part is a 90 degree clockwise rotated image of the first part and the third part is the 90 degree clockwise rotated image of the second part.	The object is transformed by rotating it 90 degrees and 180 degrees clockwise.	get_objects can be used to get the colored object that will be used for filling the rest of the grid. rotate_clockwise can be used to rotate the object first 90 degrees and then 180 degrees.	1. obtain the colored object 2. rotate the colored object by 90 degrees clockwise and copy it on the second part. 3. rotate the original object 180 degrees clockwise and copy it on the third part.
